text,sentiment,gemini,compgemini,gpt,compgpt,deepseek,compdeepseek,mistral,compmistral
Last session of the day  http://twitpic.com/67ezh,neutral,neutral,TRUE,neutral,TRUE,neutral,TRUE,neutral,TRUE
Shanghai is also really exciting (precisely -- skyscrapers galore). Good tweeps in China:  (SH)  (BJ).,positive,positive,TRUE,positive,TRUE,positive,TRUE,positive,TRUE
"Recession hit Veronique Branquinho, she has to quit her company, such a shame!",negative,negative,TRUE,negative,TRUE,negative,TRUE,negative,TRUE
happy bday!,positive,positive,TRUE,positive,TRUE,positive,TRUE,positive,TRUE
http://twitpic.com/4w75p - I like it!!,positive,positive,TRUE,positive,TRUE,positive,TRUE,positive,TRUE
that`s great!! weee!! visitors!,positive,positive,TRUE,positive,TRUE,positive,TRUE,positive,TRUE
I THINK EVERYONE HATES ME ON HERE   lol,negative,negative,TRUE,negative,TRUE,negative,TRUE,negative,TRUE
"soooooo wish i could, but im in school and myspace is completely blocked",negative,negative,TRUE,negative,TRUE,negative,TRUE,negative,TRUE
and within a short time of the last clue all of them,neutral,neutral,TRUE,neutral,TRUE,neutral,TRUE,neutral,TRUE
What did you get?  My day is alright.. haven`t done anything yet. leaving soon to my stepsister though!,neutral,neutral,TRUE,neutral,TRUE,neutral,TRUE,negative,FALSE
My bike was put on hold...should have known that.... argh total bummer,negative,negative,TRUE,negative,TRUE,negative,TRUE,neutral,FALSE
I checked.  We didn`t win,neutral,negative,FALSE,negative,FALSE,negative,FALSE,negative,FALSE
.. and you`re on twitter! Did the tavern bore you that much?,neutral,neutral,TRUE,neutral,TRUE,neutral,TRUE,negative,FALSE
"I`m in VA for the weekend, my youngest son turns 2 tomorrow......it makes me kinda sad, he is getting so big, check out my twipics",negative,negative,TRUE,negative,TRUE,negative,TRUE,neutral,FALSE
Its coming out the socket  I feel like my phones hole is not a virgin. That`s how loose it is... :`(,negative,negative,TRUE,negative,TRUE,negative,TRUE,negative,TRUE
"So hot today =_=  don`t like it and i hate my new timetable, having such a bad week",negative,negative,TRUE,negative,TRUE,negative,TRUE,neutral,FALSE
Miss you,negative,negative,TRUE,negative,TRUE,negative,TRUE,neutral,FALSE
Cramps . . .,negative,negative,TRUE,negative,TRUE,negative,TRUE,negative,TRUE
you guys didn`t say hi or answer my questions yesterday  but nice songs.,positive,neutral,FALSE,neutral,FALSE,negative,FALSE,negative,FALSE
"I`m going into a spiritual stagnentation, its exploding my ego!. I now realise, i`m not all that great. and I`m ok with that.",neutral,neutral,TRUE,negative,FALSE,negative,FALSE,negative,FALSE
Stupid storm. No river for us tonight,negative,negative,TRUE,negative,TRUE,negative,TRUE,neutral,FALSE
My dead grandpa pays more attention to me than you do,negative,negative,TRUE,negative,TRUE,negative,TRUE,negative,TRUE
"... need retail therapy, bad. AHHH.....gimme money geebus",negative,negative,TRUE,neutral,FALSE,negative,TRUE,negative,TRUE
about to go to sleep,neutral,neutral,TRUE,negative,FALSE,neutral,TRUE,neutral,TRUE
you are lame  go make me breakfast!!,negative,negative,TRUE,positive,FALSE,negative,TRUE,negative,TRUE
thats so cool,positive,positive,TRUE,neutral,FALSE,positive,TRUE,neutral,FALSE
"hey peoples, dont you just hate being grounded haha, im just sat eating an apple and watching death note (some anime)",neutral,negative,FALSE,neutral,TRUE,negative,FALSE,neutral,TRUE
"Huh, another ScarePoint coding Sunday",neutral,neutral,TRUE,positive,FALSE,negative,FALSE,neutral,TRUE
look who I found just for you  --->  http://twitter.com/DJT2009,positive,neutral,FALSE,negative,FALSE,positive,TRUE,neutral,FALSE
"No AC, the fan doesnt swing our way ... we are sweating it out on a hot humid day",negative,negative,TRUE,neutral,FALSE,negative,TRUE,negative,TRUE
guess that depends on if you want to be on the jury,neutral,neutral,TRUE,negative,FALSE,neutral,TRUE,negative,FALSE
resorted to eating Mickey Ds ALONE.,neutral,negative,FALSE,negative,FALSE,negative,FALSE,neutral,TRUE
"There is a faux gothy chick looking at me, sorry I am not going to camden and I like pop-punk and jimmy eat world",neutral,neutral,TRUE,neutral,TRUE,neutral,TRUE,neutral,TRUE
did he ask for your Twitter ID? Your sun sign?,neutral,neutral,TRUE,neutral,TRUE,neutral,TRUE,neutral,TRUE
where`d you go!,neutral,neutral,TRUE,positive,FALSE,negative,FALSE,positive,FALSE
Watching Body of Lies...good film,positive,positive,TRUE,positive,TRUE,positive,TRUE,negative,FALSE
Happy mothers day mumm  xoxo,positive,positive,TRUE,positive,TRUE,positive,TRUE,neutral,FALSE
So I really need to put the laptop down & start getting ready for  shindig...But I`ve missed my TwitterLoves all day,neutral,neutral,TRUE,neutral,TRUE,positive,FALSE,neutral,TRUE
I`m sorry  at least it`s Friday?,negative,positive,FALSE,negative,TRUE,negative,TRUE,positive,FALSE
"feels sorry every time I`m printing out, I use like 200 new papers",negative,neutral,FALSE,neutral,FALSE,negative,TRUE,positive,FALSE
4n? ma rog  never heard of it  esti beat acum? u tweet too much,negative,negative,TRUE,negative,TRUE,neutral,FALSE,negative,TRUE
I always forget SOMETHING when I travel. I am at Newark airport.,neutral,negative,FALSE,neutral,TRUE,negative,FALSE,neutral,TRUE
Should have left car and walked home! I might need someone to rescue me with petrol! Light flashing,neutral,negative,FALSE,neutral,TRUE,neutral,TRUE,neutral,TRUE
i`m only updating this so that brett`s phone beeps  but really.. looking at wedding stuff. again.for the next five months.,neutral,neutral,TRUE,positive,FALSE,positive,FALSE,neutral,TRUE
"Hi there.  I agree!  Small children should be running about happy, not breaking down in tears",positive,positive,TRUE,positive,TRUE,positive,TRUE,negative,FALSE
Hope ur havin fun in da club,positive,positive,TRUE,negative,FALSE,negative,FALSE,negative,FALSE
i miss my old phone it worked so good until i dropped it  i want a new one for my birthday...,neutral,negative,FALSE,negative,FALSE,positive,FALSE,neutral,TRUE
thinks SG is wonderful,positive,positive,TRUE,positive,TRUE,negative,FALSE,neutral,FALSE
im really sorry i know wallah how u feel this life is shittttttttt,negative,negative,TRUE,negative,TRUE,negative,TRUE,positive,FALSE
Not happy,negative,negative,TRUE,neutral,FALSE,neutral,FALSE,neutral,FALSE
Is watching acoustic performances! & In the mood for a good 'FRIENDS' episode! I miss that show,neutral,neutral,TRUE,positive,FALSE,neutral,TRUE,negative,FALSE
I`ll oscillate from one to the other.,neutral,negative,FALSE,neutral,TRUE,negative,FALSE,neutral,TRUE
I`m so very tired...and have insomnia.,negative,positive,FALSE,negative,TRUE,positive,FALSE,neutral,FALSE
Thanks Ennio,positive,positive,TRUE,negative,FALSE,positive,TRUE,positive,TRUE
you should totally come get me and bring me to kelslaws house with you.,neutral,negative,FALSE,positive,FALSE,negative,FALSE,neutral,TRUE
"You seem nice, you`re generous and you know your stuff",positive,negative,FALSE,negative,FALSE,negative,FALSE,negative,FALSE
U so dirrrrrty... Why oh why did I pick the Hawks  I figured I needed a longshot and they were a better bet than CAR,neutral,neutral,TRUE,neutral,TRUE,neutral,TRUE,neutral,TRUE
almost got a kitty yesterday...but it didn`t work out,neutral,positive,FALSE,negative,FALSE,positive,FALSE,neutral,TRUE
"reality needs to check in. schools over. time to party  not tonight tho, im going to bed. night, night.",neutral,neutral,TRUE,positive,FALSE,neutral,TRUE,neutral,TRUE
Caladesi was definitely a nice peaceful way to spend a Sunday! I got a lil tan!,positive,negative,FALSE,positive,TRUE,negative,FALSE,negative,FALSE
i still dont know what we would do though,neutral,negative,FALSE,neutral,TRUE,negative,FALSE,negative,FALSE
"_xo   dang it, so its not certain ? ? ? are you okay?",neutral,negative,FALSE,negative,FALSE,positive,FALSE,neutral,TRUE
Change of plans. I am staying in Brandon.  No Papaya Salad for me.,neutral,neutral,TRUE,neutral,TRUE,negative,FALSE,positive,FALSE
"Dear rain, you suck. Now I gotta change my plans for tonight",negative,negative,TRUE,negative,TRUE,neutral,FALSE,negative,TRUE
at starbucks with my love. eff school. i have work later too.,neutral,neutral,TRUE,neutral,TRUE,positive,FALSE,positive,FALSE
I just cried whilst watching hollyoaks  .. i need a life! lol,negative,positive,FALSE,neutral,FALSE,negative,TRUE,neutral,FALSE
"Hi all, just recovering from a party, looking forward to an exciting bank holiday around the diy shops...life cant get much better.surely",positive,neutral,FALSE,positive,TRUE,positive,TRUE,neutral,FALSE
Terminator Salvation... by myself.,neutral,positive,FALSE,negative,FALSE,positive,FALSE,positive,FALSE
"for...the...loss. dumbface  ...him, not u. what u up to on the wknd? i wanna seeeeeee ya!",negative,negative,TRUE,negative,TRUE,positive,FALSE,negative,TRUE
Why do I have to enter my registration details every time I update?,neutral,neutral,TRUE,neutral,TRUE,neutral,TRUE,neutral,TRUE
"On the monday, so i wont be able to be with you!  i love you",positive,neutral,FALSE,positive,TRUE,positive,TRUE,neutral,FALSE
"Ur so cute..I`m a fan of Dream A Little Dream, This Kiss and appearances like in Dawson`s Creek  Make more flicks!",positive,negative,FALSE,negative,FALSE,positive,TRUE,neutral,FALSE
TGIF is right...I think I broke my toe last night - on my bad foot.,neutral,negative,FALSE,neutral,TRUE,neutral,TRUE,neutral,TRUE
"Oherr it`s soon then, do you have plans? I had a party on saturday  x",neutral,neutral,TRUE,positive,FALSE,negative,FALSE,positive,FALSE
_LaMont yr very young looking dude,positive,positive,TRUE,positive,TRUE,negative,FALSE,positive,TRUE
": hmmm, wrong link, ignore my tweet",negative,neutral,FALSE,neutral,FALSE,neutral,FALSE,neutral,FALSE
AT&T cheated the system and now I have no Green Day tickets  **** you AT&T!,negative,positive,FALSE,negative,TRUE,negative,TRUE,neutral,FALSE
Tracy and Berwick breaks my achy breaky heart  They split ways in the hallways.,negative,positive,FALSE,neutral,FALSE,positive,FALSE,neutral,FALSE
"yep, i wish they were all playing dubiln",positive,positive,TRUE,neutral,FALSE,neutral,FALSE,neutral,FALSE
im a lady and ladies don`t move couches. they direct where the couches go,neutral,negative,FALSE,negative,FALSE,positive,FALSE,positive,FALSE
Yay for Block Party!  You`re the BOMB! Blockheads <3 Dave!   Thanks for supporting NKOTB!,positive,negative,FALSE,negative,FALSE,negative,FALSE,positive,TRUE
26th February,neutral,positive,FALSE,negative,FALSE,negative,FALSE,neutral,TRUE
Guess what? mom adopted a kitty today (11 months) His name is Corky,neutral,neutral,TRUE,positive,FALSE,negative,FALSE,negative,FALSE
Happy Birthday Snickers!!!! ? I hope you have the best day ever! Let`s go shopping!!!,positive,negative,FALSE,neutral,FALSE,neutral,FALSE,negative,FALSE
Thank you!  I`m working on `s,positive,positive,TRUE,positive,TRUE,negative,FALSE,positive,TRUE
lol man i got 2 1 /2 hrs an iont how i woulda made it wit out my ramen noodles and t.v. Time,neutral,neutral,TRUE,positive,FALSE,positive,FALSE,positive,FALSE
Not feeling all that well today,negative,negative,TRUE,positive,FALSE,neutral,FALSE,neutral,FALSE
"http://twitpic.com/4wp8s - My ear hurts, and THIS is my medicine. GUM",negative,positive,FALSE,neutral,FALSE,neutral,FALSE,neutral,FALSE
_berland LMAO I know I know,neutral,neutral,TRUE,neutral,TRUE,positive,FALSE,neutral,TRUE
Gnight shar   <(` `<)Vega(>` `)>,neutral,neutral,TRUE,negative,FALSE,negative,FALSE,neutral,TRUE
The underwire in my bra is sticking out and poking me in the armpit,negative,negative,TRUE,negative,TRUE,negative,TRUE,positive,FALSE
Happy Mothers Day!!!,positive,neutral,FALSE,negative,FALSE,neutral,FALSE,positive,TRUE
"Yes, I am",neutral,negative,FALSE,neutral,TRUE,negative,FALSE,neutral,TRUE
I can`t call Mitch!  Im from sweden!,neutral,positive,FALSE,positive,FALSE,positive,FALSE,negative,FALSE
Happy star wars day! May the fourth be with you,positive,neutral,FALSE,positive,TRUE,neutral,FALSE,neutral,FALSE
was so excited to eat the wartermelon i bought the other day and it was terrible and not sweet,neutral,neutral,TRUE,positive,FALSE,neutral,TRUE,neutral,TRUE
i just watched Marley & Me...i cried so hard!,negative,negative,TRUE,neutral,FALSE,negative,TRUE,neutral,FALSE
Take antibacterial to school to clean your hands when you cant go the loos,neutral,positive,FALSE,negative,FALSE,negative,FALSE,positive,FALSE
I`m leaving work now. Trying to decide if I return on Sunday afternoon or Monday 4 am to meet a noon (UK time) deadline.,neutral,negative,FALSE,negative,FALSE,neutral,TRUE,negative,FALSE
haaaw..well i get out of class at 10:50..i hope i make it,positive,positive,TRUE,positive,TRUE,neutral,FALSE,neutral,FALSE